credit_amount,business_age_months,monthly_income_avg,total_deposits_3m,revenue_volatility_3m,request_ratio,dti_monthly,nsf_count_3m,negative_days_3m,owner_percentage,owner_credit_score,p_viable,risk_sharp
65044.000799999965,14,31423.29,86800.05,0.745,2.072,0.542,1,3,77.8,571,0.835,0
36058.07,94,27885.55,79161.32,0.552,1.293,0.434,3,3,84.4,731,0.918,0
9782.59,32,13293.69,42202.89,0.65,0.736,0.432,4,3,81.8,604,0.466,0
31340.25,30,18121.27,51841.87,0.726,1.729,0.306,5,7,53.8,729,0.495,1
14167.7,32,13954.2,42403.16,0.597,1.015,0.311,3,4,66.7,663,0.608,0
28399.16,11,15775.97,47925.54,0.777,1.8,0.497,6,8,92.2,606,0.201,1
7931.68,14,7927.22,22609.18,0.674,1.001,0.34,7,7,89.5,696,0.161,1
17118.46,14,10079.86,28419.43,0.728,1.698,0.114,4,6,67.8,705,0.415,0
15525.52,95,15543.41,46891.17,0.599,0.999,0.336,0,4,76.5,762,0.897,0
15119.33,92,17617.19,45865.46,0.619,0.858,0.323,4,5,96.6,693,0.726,0
10043.85,23,10267.88,35717.1,0.666,0.978,0.237,7,4,99.0,699,0.304,1
25514.65,38,24885.4,71235.71,0.604,1.025,0.376,1,2,90.4,710,0.897,0
14603.46,14,9133.85,26545.25,0.809,1.599,0.473,1,1,64.6,480,0.418,1
5000.0,135,8748.25,27791.26,0.539,0.572,0.302,0,2,10.3,683,0.89,0
31744.67,74,24223.91,71684.55,0.515,1.31,0.41,8,5,94.9,720,0.627,1
65044.000799999965,51,34560.72,100218.64,0.721,1.994,0.402,8,4,83.4,673,0.547,1
7741.44,69,7928.22,21240.05,0.584,0.976,0.175,2,4,92.0,629,0.647,0
9065.5,24,10281.89,31097.13,0.539,0.882,0.249,2,4,54.8,617,0.578,0
16074.35,32,24997.28,71711.16,0.586,0.643,0.242,4,3,78.6,657,0.792,0
30312.89,93,18368.6,64281.28,0.433,1.65,0.42,5,5,44.6,651,0.72,1
29963.35,136,21724.1,64101.84,0.48,1.379,0.291,4,6,54.0,672,0.87,0
20122.73,62,12544.34,30808.09,0.734,1.604,0.301,5,8,96.7,660,0.373,1
5692.81,27,3598.6726000000003,10774.730800000001,0.696,1.898,0.171,3,5,83.2,697,0.369,1
18456.61,72,14926.64,41197.43,0.597,1.236,0.303,3,3,69.0,581,0.688,0
12948.43,71,16779.13,50765.3,0.557,0.772,0.187,1,4,84.2,708,0.871,0
